address,CSMA-2.0-0.0-lost,CSMA-2.0-0.0-received,DSME-2.0-0.0-lost,DSME-2.0-0.0-received
2,0.0,100.0,0.0,100.0
3,2.0,98.0,0.0,100.0
4,0.0,100.0,0.0,100.0
5,1.0,99.0,0.0,100.0
6,0.0,100.0,0.0,100.0
7,0.0,100.0,0.0,100.0
8,1.0,99.0,0.0,100.0
9,0.0,100.0,0.0,100.0
10,4.0,96.0,0.0,100.0
11,1.0,99.0,0.0,100.0
12,0.0,100.0,0.0,100.0
13,1.0,99.0,0.0,100.0
14,0.0,100.0,0.0,100.0
15,1.0,99.0,0.0,100.0
16,1.0,99.0,0.0,100.0
17,0.0,100.0,0.0,100.0
18,1.0,99.0,0.0,100.0
19,0.0,100.0,0.0,100.0
20,1.0,99.0,0.0,100.0
21,0.0,100.0,0.0,100.0
22,1.0,99.0,0.0,100.0
23,0.0,100.0,0.0,100.0
24,0.0,100.0,0.0,100.0
25,1.0,99.0,0.0,100.0
26,1.0,99.0,0.0,100.0
27,0.0,100.0,0.0,100.0
28,0.0,100.0,0.0,100.0
29,2.0,98.0,0.0,100.0
30,0.0,100.0,0.0,100.0
31,1.0,99.0,0.0,100.0
32,0.0,100.0,0.0,100.0
33,1.0,99.0,0.0,100.0
34,0.0,100.0,0.0,100.0
35,0.0,100.0,0.0,100.0
36,1.0,99.0,0.0,100.0
37,0.0,100.0,0.0,100.0
38,0.0,100.0,0.0,100.0
39,2.0,98.0,0.0,100.0
40,0.0,100.0,0.0,100.0
41,0.0,100.0,0.0,100.0
42,1.0,99.0,0.0,100.0
43,0.0,100.0,0.0,100.0
44,2.0,98.0,0.0,100.0
45,1.0,99.0,0.0,100.0
46,0.0,100.0,0.0,100.0
47,0.0,100.0,0.0,100.0
48,0.0,100.0,0.0,100.0
49,1.0,99.0,0.0,100.0
50,2.0,98.0,0.0,100.0
51,0.0,100.0,0.0,100.0
52,0.0,100.0,0.0,100.0
53,1.0,99.0,0.0,100.0
54,1.0,99.0,0.0,100.0
55,1.0,99.0,0.0,100.0
56,0.0,100.0,0.0,100.0
57,0.0,100.0,0.0,100.0
58,0.0,100.0,0.0,100.0
59,0.0,100.0,0.0,100.0
60,0.0,100.0,0.0,100.0
61,2.0,98.0,0.0,100.0
62,1.0,99.0,5.0,95.0
