address,CSMA-2.0-0.0-lost,CSMA-2.0-0.0-received,DSME-2.0-0.0-lost,DSME-2.0-0.0-received
2,0.0,100.0,0.0,100.0
3,1.0,99.0,0.0,100.0
4,2.0,98.0,0.0,100.0
5,2.0,98.0,0.0,100.0
6,1.0,99.0,0.0,100.0
7,2.0,98.0,0.0,100.0
8,5.0,95.0,0.0,100.0
9,5.0,95.0,0.0,100.0
10,4.0,96.0,0.0,100.0
11,9.0,91.0,0.0,100.0
12,1.0,99.0,0.0,100.0
13,8.0,92.0,0.0,100.0
14,3.0,97.0,0.0,100.0
15,7.0,93.0,0.0,100.0
16,4.0,96.0,0.0,100.0
17,3.0,97.0,0.0,100.0
18,2.0,98.0,0.0,100.0
19,2.0,98.0,0.0,100.0
20,2.0,98.0,0.0,100.0
21,5.0,95.0,0.0,100.0
22,12.0,88.0,0.0,100.0
23,3.0,97.0,0.0,100.0
24,4.0,96.0,0.0,100.0
25,2.0,98.0,0.0,100.0
26,2.0,98.0,0.0,100.0
27,4.0,96.0,0.0,100.0
28,4.0,96.0,0.0,100.0
29,4.0,96.0,0.0,100.0
30,5.0,95.0,0.0,100.0
31,6.0,94.0,0.0,100.0
32,4.0,96.0,0.0,100.0
33,3.0,97.0,0.0,100.0
34,9.0,91.0,0.0,100.0
35,3.0,97.0,0.0,100.0
36,9.0,91.0,0.0,100.0
37,7.0,93.0,0.0,100.0
38,6.0,94.0,0.0,100.0
39,10.0,90.0,0.0,100.0
40,4.0,96.0,0.0,100.0
41,5.0,95.0,0.0,100.0
42,2.0,98.0,0.0,100.0
43,4.0,96.0,0.0,100.0
44,5.0,95.0,0.0,100.0
45,4.0,96.0,0.0,100.0
46,4.0,96.0,0.0,100.0
47,3.0,97.0,0.0,100.0
48,3.0,97.0,0.0,100.0
49,6.0,94.0,0.0,100.0
50,4.0,96.0,0.0,100.0
51,6.0,94.0,0.0,100.0
52,4.0,96.0,0.0,100.0
53,6.0,94.0,0.0,100.0
54,2.0,98.0,0.0,100.0
55,5.0,95.0,0.0,100.0
56,8.0,92.0,0.0,100.0
57,3.0,97.0,0.0,100.0
58,2.0,98.0,0.0,100.0
59,4.0,96.0,0.0,100.0
60,8.0,92.0,0.0,100.0
61,7.0,93.0,0.0,100.0
62,4.0,96.0,0.0,100.0
