address,CSMA-2.0-0.0-lost,CSMA-2.0-0.0-received,DSME-2.0-0.0-lost,DSME-2.0-0.0-received
2,1.0,99.0,12.0,88.0
3,2.0,98.0,6.0,94.0
4,5.0,95.0,5.0,95.0
5,0.0,100.0,11.0,89.0
6,1.0,99.0,8.0,92.0
7,3.0,97.0,11.0,89.0
8,4.0,96.0,16.0,84.0
9,7.0,93.0,32.0,68.0
10,6.0,94.0,17.0,83.0
11,7.0,93.0,32.0,68.0
12,3.0,97.0,12.0,88.0
13,7.0,93.0,29.0,71.0
14,2.0,98.0,15.0,85.0
15,5.0,95.0,34.0,66.0
16,3.0,97.0,9.0,91.0
17,9.0,91.0,30.0,70.0
18,4.0,96.0,12.0,88.0
19,12.0,88.0,36.0,64.0
20,9.0,91.0,21.0,79.0
21,4.0,96.0,49.0,51.0
22,5.0,95.0,37.0,63.0
23,4.0,96.0,28.0,72.0
24,14.0,86.0,40.0,60.0
25,6.0,94.0,43.0,57.0
26,5.0,95.0,22.0,78.0
27,6.0,94.0,46.0,54.0
28,10.0,90.0,45.0,55.0
29,2.0,98.0,28.0,72.0
30,10.0,90.0,44.0,56.0
31,5.0,95.0,43.0,57.0
32,4.0,96.0,23.0,77.0
33,10.0,90.0,41.0,59.0
34,7.0,93.0,51.0,49.0
35,7.0,93.0,18.0,82.0
36,10.0,90.0,35.0,65.0
37,14.0,86.0,33.0,67.0
38,2.0,98.0,24.0,76.0
39,10.0,90.0,45.0,55.0
40,13.0,87.0,56.0,44.0
41,9.0,91.0,41.0,59.0
42,5.0,95.0,22.0,78.0
43,9.0,91.0,57.0,43.0
44,13.0,87.0,42.0,58.0
45,5.0,95.0,40.0,60.0
46,3.0,97.0,32.0,68.0
47,7.0,93.0,35.0,65.0
48,6.0,94.0,51.0,49.0
49,14.0,86.0,56.0,44.0
50,4.0,96.0,34.0,66.0
51,4.0,96.0,36.0,64.0
52,6.0,94.0,50.0,50.0
53,13.0,87.0,52.0,48.0
54,5.0,95.0,40.0,60.0
55,5.0,95.0,31.0,69.0
56,11.0,89.0,44.0,56.0
57,7.0,93.0,41.0,59.0
58,16.0,84.0,49.0,51.0
59,3.0,97.0,26.0,74.0
60,9.0,91.0,51.0,49.0
61,12.0,88.0,50.0,50.0
62,9.0,91.0,53.0,47.0
