address,CSMA-2.0-0.0-lost,CSMA-2.0-0.0-received,DSME-2.0-0.0-lost,DSME-2.0-0.0-received
2,1.0,99.0,0.0,100.0
3,1.0,99.0,0.0,100.0
4,2.0,98.0,0.0,100.0
5,1.0,99.0,0.0,100.0
6,3.0,97.0,0.0,100.0
7,1.0,99.0,0.0,100.0
8,2.0,98.0,0.0,100.0
9,7.0,93.0,1.0,99.0
10,2.0,98.0,0.0,100.0
11,5.0,95.0,0.0,100.0
12,2.0,98.0,0.0,100.0
13,7.0,93.0,0.0,100.0
14,4.0,96.0,0.0,100.0
15,5.0,95.0,0.0,100.0
16,2.0,98.0,0.0,100.0
17,4.0,96.0,0.0,100.0
18,6.0,94.0,0.0,100.0
19,6.0,94.0,0.0,100.0
20,2.0,98.0,0.0,100.0
21,4.0,96.0,0.0,100.0
22,3.0,97.0,0.0,100.0
23,3.0,97.0,2.0,98.0
24,6.0,94.0,0.0,100.0
25,4.0,96.0,0.0,100.0
26,2.0,98.0,1.0,99.0
27,6.0,94.0,0.0,100.0
28,8.0,92.0,0.0,100.0
29,2.0,98.0,0.0,100.0
30,5.0,95.0,0.0,100.0
31,6.0,94.0,0.0,100.0
32,5.0,95.0,86.0,14.0
33,7.0,93.0,0.0,100.0
34,4.0,96.0,0.0,100.0
35,1.0,99.0,0.0,100.0
36,8.0,92.0,0.0,100.0
37,6.0,94.0,0.0,100.0
38,3.0,97.0,0.0,100.0
39,3.0,97.0,1.0,99.0
40,5.0,95.0,0.0,100.0
41,3.0,97.0,0.0,100.0
42,4.0,96.0,8.0,92.0
43,3.0,97.0,1.0,99.0
44,2.0,98.0,0.0,100.0
45,2.0,98.0,0.0,100.0
46,3.0,97.0,8.0,92.0
47,4.0,96.0,2.0,98.0
48,7.0,93.0,0.0,100.0
49,7.0,93.0,0.0,100.0
50,4.0,96.0,0.0,100.0
51,3.0,97.0,0.0,100.0
52,8.0,92.0,0.0,100.0
53,7.0,93.0,0.0,100.0
54,6.0,94.0,84.0,16.0
55,3.0,97.0,89.0,11.0
56,2.0,98.0,0.0,100.0
57,6.0,94.0,0.0,100.0
58,3.0,97.0,100.0,0.0
59,4.0,96.0,100.0,0.0
60,5.0,95.0,100.0,0.0
61,8.0,92.0,0.0,100.0
62,6.0,94.0,0.0,100.0
